id,state_id,slug,name,status,hero_image,description,price_multiplier,created_at
"1","1","hyderabad","Hyderabad","live","https://images.pexels.com/photos/11321242/pexels-photo-11321242.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Our flagship studio. 800+ Hyderabad homes designed since 2019. In-home consultations available 7 days a week.","1.1","2026-07-12T06:04:26.476903"
"2","1","warangal","Warangal","live","https://images.pexels.com/photos/33452539/pexels-photo-33452539.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Dedicated Warangal studio opened 2022. Budget-friendly packages tailored for Warangal's apartment layouts.","0.95","2026-07-12T06:04:26.476903"
"3","1","nizamabad","Nizamabad","live","https://images.pexels.com/photos/17158655/pexels-photo-17158655.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Serving Nizamabad with the same premium quality as Hyderabad, at regional pricing.","0.92","2026-07-12T06:04:26.476903"
"4","1","karimnagar","Karimnagar","live","https://images.pexels.com/photos/6920446/pexels-photo-6920446.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Full-service interiors for Karimnagar families. From modular kitchens to complete home makeovers.","0.92","2026-07-12T06:04:26.476903"
"5","1","secunderabad","Secunderabad","live","https://images.pexels.com/photos/10983775/pexels-photo-10983775.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","The twin city, same studio. All Secunderabad consultations are handled from our Hyderabad studio.","1.08","2026-07-12T06:04:26.476903"
"6","1","khammam","Khammam","live","https://images.pexels.com/photos/33688058/pexels-photo-33688058.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Our newest Telangana city. Launched in early 2025 with special introductory pricing.","0.9","2026-07-12T06:04:26.476903"
"8","2","visakhapatnam","Visakhapatnam","coming_soon","https://images.pexels.com/photos/16985123/pexels-photo-16985123.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Vizag is on our roadmap. Sign up to be notified the moment we open.","1.05","2026-07-12T06:04:26.476903"
"9","2","guntur","Guntur","coming_soon","https://images.pexels.com/photos/7031211/pexels-photo-7031211.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","We're planning our Guntur launch. Register now for priority scheduling.","0.95","2026-07-12T06:04:26.476903"
"10","2","tirupati","Tirupati","coming_soon","https://images.pexels.com/photos/36777913/pexels-photo-36777913.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Tirupati homes will get the Little Ray treatment soon. Join the waitlist.","0.98","2026-07-12T06:04:26.476903"
"11","3","bengaluru","Bengaluru","coming_soon","https://images.pexels.com/photos/6238684/pexels-photo-6238684.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Bengaluru launch in Q1 2027. Our biggest market expansion — studio location scouting underway.","1.2","2026-07-12T06:04:26.476903"
"12","3","mysuru","Mysuru","coming_soon","https://images.pexels.com/photos/8236023/pexels-photo-8236023.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Mysuru's heritage charm meets modern interiors. Coming soon.","1.05","2026-07-12T06:04:26.476903"
"13","3","mangaluru","Mangaluru","coming_soon","https://images.pexels.com/photos/7018836/pexels-photo-7018836.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Coastal homes, thoughtful design. Mangaluru launch planned for mid-2027.","1.02","2026-07-12T06:04:26.476903"
"14","3","hubli","Hubli","coming_soon","https://images.pexels.com/photos/7546556/pexels-photo-7546556.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Quality interiors for Hubli-Dharwad. Join the waitlist.","0.98","2026-07-12T06:04:26.476903"
"7","2","vijayawada","Vijayawada","coming_soon","https://images.pexels.com/photos/7005291/pexels-photo-7005291.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=900&w=1200","Join the waitlist for Vijayawada and get early-bird pricing when we launch.","1","2026-07-12T06:04:26.476903"